fixture_id	pair	fallback_markers	variant_nodes	status
S01-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S01-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S01-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S01-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S02-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S02-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S02-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S02-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S03-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S03-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S03-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S03-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S04-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S04-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S04-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S04-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S05-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S05-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S05-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S05-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S06-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S06-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S06-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S06-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S07-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S07-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S07-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S07-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S08-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S08-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S08-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S08-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S09-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S09-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S09-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S09-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S10-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S10-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S10-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S10-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S11-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S11-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S11-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S11-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S12-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S12-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S12-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S12-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S13-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S13-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S13-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S13-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S14-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S14-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S14-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S14-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
