mutant_id	mutation	executed	rejected	witness	scope
D01	drop-linear-oklch	true	true	pair-local population drift	contract-definition-only
D02	merge-radial-with-linear	true	true	pair-local population drift	contract-definition-only
D03	admit-cmyk	true	true	CMYK boundary drift	contract-definition-only
D04	drop-general-seed	true	true	general seed cardinality drift	contract-definition-only
D05	drop-seam-reverse	true	true	polar envelope drift	contract-definition-only
D06	drop-polar-alpha	true	true	polar envelope drift	contract-definition-only
D07	drop-luma-extreme	true	true	Luma envelope drift	contract-definition-only
D08	drop-endpoint	true	true	focal position drift	contract-definition-only
D09	raw-hue-subtraction	true	true	hue observable drift	contract-definition-only
D10	drop-alpha-p95	true	true	numeric conjunction drift	contract-definition-only
D11	global-cap	true	true	cost contract drift	contract-definition-only
D12	merge-degenerate-rules	true	true	degenerate geometry drift	contract-definition-only
D13	accept-invalid-as-unknown	true	true	invalid domain lost	contract-definition-only
D14	drop-inverse	true	true	determinism phase drift	contract-definition-only
D15	unknown-is-success	true	true	Unknown converted to success	contract-definition-only
D16	promote-before-verdict	true	true	premature productive promotion	contract-definition-only
D17	claim-general-equivalence	true	true	general SVG equivalence overclaim	contract-definition-only
D18	candidate-first-budget	true	true	candidate-derived oracle	contract-definition-only
