pair	family	scenario	t	hue_delta_deg	non_hue_max	alpha_delta	status
linear/hsl	polar	alpha-first	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
linear/hsl	polar	alpha-first	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	alpha-first	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	alpha-first	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	low-chroma	0.000001000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/hsl	polar	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	0.000001000000	1.239776611328125e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	0.250000000000	1.6689300537109375e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	0.500000000000	9.5367431640625e-07	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	0.999999000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsl	polar	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	low-chroma	0.999999000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/hsv	polar	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
linear/hsv	polar	seam-reverse	0.000001000000	1.239776611328125e-05	0.0	0.0	Preserved
linear/hsv	polar	seam-reverse	0.250000000000	1.6689300537109375e-05	0.0	0.0	Preserved
linear/hsv	polar	seam-reverse	0.500000000000	9.5367431640625e-07	0.0	0.0	Preserved
linear/hsv	polar	seam-reverse	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
