fixture_id	pair	variant_nodes	unresolved	raster_nodes	role_urls	fallback_markers	transform_digest	product	status
S01-linear-oklch	linear/oklch	2	0	0	1	0	9804b8e057825f4b61db36b2a4d0f7481729adc5fff4f7111e1c425c4f766594	False	Preserved
S01-radial-oklch	radial/oklch	2	0	0	1	0	239f414f11d3e3d2e9d5ca2ace1b5a16d0677b8389472d6036aef500ced50492	False	Preserved
S01-linear-hsl	linear/hsl	2	0	0	1	0	e29835842e89947f4969368140a424c7cf1617b0f47d1170eecf32babc2f23c1	False	Preserved
S01-radial-hsl	radial/hsl	2	0	0	1	0	9d5c2355a40f3abb3f90ae83b431a868636ce173f3c6ca5924d9f484e6ddd37a	False	Preserved
S01-linear-hsv	linear/hsv	2	0	0	1	0	6c6d5658ae2ed74caacce6e1f5ca061b4f339133f5331c5439a27cb4837d585d	False	Preserved
S01-radial-hsv	radial/hsv	2	0	0	1	0	2080179c559c1818646725c3cc045f05baa76801332173a9d444535321dc807c	False	Preserved
S01-linear-luma	linear/luma	2	0	0	1	0	48e12c89dee513c1692a26e8f621ef6b42530e7646c120226c92f43bd5828baa	False	Preserved
S01-radial-luma	radial/luma	2	0	0	1	0	839bd8611b10a6c5a54e30690a55b7be7d28eb9779fe8da96dad55b64e67ecc5	False	Preserved
S02-linear-oklch	linear/oklch	2	0	0	1	0	5f6729e5a88c5895621711641e5324652b416dcb0cbe110d985c9ff6cc7a6a9d	False	Preserved
S02-radial-oklch	radial/oklch	2	0	0	1	0	90664bc908063c9b9a0553f7895353274df7473cc6404b9d788787aafd4a9154	False	Preserved
S02-linear-hsl	linear/hsl	2	0	0	1	0	58e4038392311d67e03623b2721d751b0bf6489236411d84e761ec5707209074	False	Preserved
S02-radial-hsl	radial/hsl	2	0	0	1	0	875e154e81a8f930cc179374bac0afb7051def4b2d036e70f749bc57fb1804f5	False	Preserved
S02-linear-hsv	linear/hsv	2	0	0	1	0	246c0c45ab337e80714bb0a39e086d866a730b21f9cae1d6c7c88db01123835f	False	Preserved
S02-radial-hsv	radial/hsv	2	0	0	1	0	7afce4b3b887b637952b4cf5aed0e46ea8750592db27684f2e59da38f444134f	False	Preserved
S02-linear-luma	linear/luma	2	0	0	1	0	38a0709c51b47575c2020adcbb7190949ec8c03705e1c3247577dd2bfa5998d0	False	Preserved
S02-radial-luma	radial/luma	2	0	0	1	0	55a6d57e5615e0fa52be49a3dc69d12c02f3707eb66ef518d59542efe39ac6be	False	Preserved
S03-linear-oklch	linear/oklch	2	0	0	1	0	e48ac594fbfafa50b623531b1a7d725ac4e4bb983d81b08a63b93b1a06d279ff	False	Preserved
S03-radial-oklch	radial/oklch	2	0	0	1	0	d7b63c49e819784374683bdd242e0f4567f1cf4d13204090dba5c78217e5c92f	False	Preserved
S03-linear-hsl	linear/hsl	2	0	0	1	0	bbcd25eb02c7ca63b6ad44e8be2b556f29bb8b79986be4be085df1dbe5373bf4	False	Preserved
S03-radial-hsl	radial/hsl	2	0	0	1	0	2167ad64587f778947978b6d8246a95d9081d5fe4c03200b5437c3d395e04daf	False	Preserved
S03-linear-hsv	linear/hsv	2	0	0	1	0	e72d857a67a3dfed05b2826ffc553954fc0bc513b900736e15d0acb57232bfad	False	Preserved
S03-radial-hsv	radial/hsv	2	0	0	1	0	16bb10db7cc5f2bb99665c649492b3dae5a52db182df907e0457725c00990d84	False	Preserved
S03-linear-luma	linear/luma	2	0	0	1	0	200935b41f254879979471d2ebc2bdb15814ad3ae2d45c0b31e5e475e2100403	False	Preserved
S03-radial-luma	radial/luma	2	0	0	1	0	2fb7796761cb9df4da0015a2adc743ff213d472c3f815a4a327c08966f6c8300	False	Preserved
S04-linear-oklch	linear/oklch	2	0	0	1	0	aaaada067c9b92ae513175a22855553b482fe237c5da2de76eac4af22e8e2a2c	False	Preserved
S04-radial-oklch	radial/oklch	2	0	0	1	0	001fbe2471b97c4a3b3b20804e748230eb5725a1cd1f71bcc40747ff09a6685e	False	Preserved
S04-linear-hsl	linear/hsl	2	0	0	1	0	8faaf426da9599c4d20704ee816fa9cd8ea7375205becc5cc4562bbc94121783	False	Preserved
S04-radial-hsl	radial/hsl	2	0	0	1	0	043a4f8643621e06047ccd2cc5aac8499af8d2b14028a0ea47d09d3352dae618	False	Preserved
S04-linear-hsv	linear/hsv	2	0	0	1	0	3f163d2e5b98c0c75884695cca9cb7f7792a0eddec65de3ebf92b40a98b75c1f	False	Preserved
S04-radial-hsv	radial/hsv	2	0	0	1	0	387851d4356d6fa4eddf3463ecb89906bb470811c0a2043dfc820bd890777e51	False	Preserved
S04-linear-luma	linear/luma	2	0	0	1	0	559d2c1cc0a2655c952f06e501066ba5be397968a3ae4cdd431237d50ca3a55d	False	Preserved
S04-radial-luma	radial/luma	2	0	0	1	0	a73538920e3478d68c886cc156a0afb4da2edffa38b4074fc36cceb2db87c8d3	False	Preserved
S05-linear-oklch	linear/oklch	2	0	0	1	0	87febfa879b17541b78be66750b1728b2a5503874bcf2aee00a286ef7a3729e3	False	Preserved
S05-radial-oklch	radial/oklch	2	0	0	1	0	f1fa2886e560f98caf53edddf759dc0b71a3a003fa8b33e147ca34afb8be63b2	False	Preserved
S05-linear-hsl	linear/hsl	2	0	0	1	0	0de793f98d1034274e5bc18abe29d3cd8bfdd16fdbdc1abf42b5f40a05920194	False	Preserved
S05-radial-hsl	radial/hsl	2	0	0	1	0	ae22166ca60cc273b6928fdf654031b646b6e018ca3f4978d966345dd9bdf7c5	False	Preserved
S05-linear-hsv	linear/hsv	2	0	0	1	0	de9068f2c01563948a4f223dfcf5b0f74a02cad6e5da09845698ee0429cf3a1e	False	Preserved
S05-radial-hsv	radial/hsv	2	0	0	1	0	710d9b5fcf8aae5353df3da5b53b2f608f01851fefa004ab7b67f00e76c901e8	False	Preserved
S05-linear-luma	linear/luma	2	0	0	1	0	e474f6036daf89bf79dc00dac592e1a4a16a9868a91027eef73706a910d2cb11	False	Preserved
