fixture_id	pair	fallback_markers	variant_nodes	productive_promotion	status
S01-linear-oklch	linear/oklch	1	0	false	Preserved
S01-radial-oklch	radial/oklch	1	0	false	Preserved
S01-linear-hsl	linear/hsl	1	0	false	Preserved
S01-radial-hsl	radial/hsl	1	0	false	Preserved
S01-linear-hsv	linear/hsv	1	0	false	Preserved
S01-radial-hsv	radial/hsv	1	0	false	Preserved
S01-linear-luma	linear/luma	1	0	false	Preserved
S01-radial-luma	radial/luma	1	0	false	Preserved
S02-linear-oklch	linear/oklch	1	0	false	Preserved
S02-radial-oklch	radial/oklch	1	0	false	Preserved
S02-linear-hsl	linear/hsl	1	0	false	Preserved
S02-radial-hsl	radial/hsl	1	0	false	Preserved
S02-linear-hsv	linear/hsv	1	0	false	Preserved
S02-radial-hsv	radial/hsv	1	0	false	Preserved
S02-linear-luma	linear/luma	1	0	false	Preserved
S02-radial-luma	radial/luma	1	0	false	Preserved
S03-linear-oklch	linear/oklch	1	0	false	Preserved
S03-radial-oklch	radial/oklch	1	0	false	Preserved
S03-linear-hsl	linear/hsl	1	0	false	Preserved
S03-radial-hsl	radial/hsl	1	0	false	Preserved
S03-linear-hsv	linear/hsv	1	0	false	Preserved
S03-radial-hsv	radial/hsv	1	0	false	Preserved
S03-linear-luma	linear/luma	1	0	false	Preserved
S03-radial-luma	radial/luma	1	0	false	Preserved
S04-linear-oklch	linear/oklch	1	0	false	Preserved
S04-radial-oklch	radial/oklch	1	0	false	Preserved
S04-linear-hsl	linear/hsl	1	0	false	Preserved
S04-radial-hsl	radial/hsl	1	0	false	Preserved
S04-linear-hsv	linear/hsv	1	0	false	Preserved
S04-radial-hsv	radial/hsv	1	0	false	Preserved
S04-linear-luma	linear/luma	1	0	false	Preserved
S04-radial-luma	radial/luma	1	0	false	Preserved
S05-linear-oklch	linear/oklch	1	0	false	Preserved
S05-radial-oklch	radial/oklch	1	0	false	Preserved
S05-linear-hsl	linear/hsl	1	0	false	Preserved
S05-radial-hsl	radial/hsl	1	0	false	Preserved
S05-linear-hsv	linear/hsv	1	0	false	Preserved
S05-radial-hsv	radial/hsv	1	0	false	Preserved
S05-linear-luma	linear/luma	1	0	false	Preserved
S05-radial-luma	radial/luma	1	0	false	Preserved
S06-linear-oklch	linear/oklch	1	0	false	Preserved
S06-radial-oklch	radial/oklch	1	0	false	Preserved
S06-linear-hsl	linear/hsl	1	0	false	Preserved
S06-radial-hsl	radial/hsl	1	0	false	Preserved
S06-linear-hsv	linear/hsv	1	0	false	Preserved
S06-radial-hsv	radial/hsv	1	0	false	Preserved
S06-linear-luma	linear/luma	1	0	false	Preserved
S06-radial-luma	radial/luma	1	0	false	Preserved
S07-linear-oklch	linear/oklch	1	0	false	Preserved
S07-radial-oklch	radial/oklch	1	0	false	Preserved
S07-linear-hsl	linear/hsl	1	0	false	Preserved
S07-radial-hsl	radial/hsl	1	0	false	Preserved
S07-linear-hsv	linear/hsv	1	0	false	Preserved
S07-radial-hsv	radial/hsv	1	0	false	Preserved
S07-linear-luma	linear/luma	1	0	false	Preserved
S07-radial-luma	radial/luma	1	0	false	Preserved
S08-linear-oklch	linear/oklch	1	0	false	Preserved
S08-radial-oklch	radial/oklch	1	0	false	Preserved
S08-linear-hsl	linear/hsl	1	0	false	Preserved
S08-radial-hsl	radial/hsl	1	0	false	Preserved
S08-linear-hsv	linear/hsv	1	0	false	Preserved
S08-radial-hsv	radial/hsv	1	0	false	Preserved
S08-linear-luma	linear/luma	1	0	false	Preserved
S08-radial-luma	radial/luma	1	0	false	Preserved
S09-linear-oklch	linear/oklch	1	0	false	Preserved
S09-radial-oklch	radial/oklch	1	0	false	Preserved
S09-linear-hsl	linear/hsl	1	0	false	Preserved
S09-radial-hsl	radial/hsl	1	0	false	Preserved
S09-linear-hsv	linear/hsv	1	0	false	Preserved
S09-radial-hsv	radial/hsv	1	0	false	Preserved
S09-linear-luma	linear/luma	1	0	false	Preserved
S09-radial-luma	radial/luma	1	0	false	Preserved
S10-linear-oklch	linear/oklch	1	0	false	Preserved
S10-radial-oklch	radial/oklch	1	0	false	Preserved
S10-linear-hsl	linear/hsl	1	0	false	Preserved
S10-radial-hsl	radial/hsl	1	0	false	Preserved
S10-linear-hsv	linear/hsv	1	0	false	Preserved
S10-radial-hsv	radial/hsv	1	0	false	Preserved
S10-linear-luma	linear/luma	1	0	false	Preserved
S10-radial-luma	radial/luma	1	0	false	Preserved
S11-linear-oklch	linear/oklch	1	0	false	Preserved
S11-radial-oklch	radial/oklch	1	0	false	Preserved
S11-linear-hsl	linear/hsl	1	0	false	Preserved
S11-radial-hsl	radial/hsl	1	0	false	Preserved
S11-linear-hsv	linear/hsv	1	0	false	Preserved
S11-radial-hsv	radial/hsv	1	0	false	Preserved
S11-linear-luma	linear/luma	1	0	false	Preserved
S11-radial-luma	radial/luma	1	0	false	Preserved
S12-linear-oklch	linear/oklch	1	0	false	Preserved
S12-radial-oklch	radial/oklch	1	0	false	Preserved
S12-linear-hsl	linear/hsl	1	0	false	Preserved
S12-radial-hsl	radial/hsl	1	0	false	Preserved
S12-linear-hsv	linear/hsv	1	0	false	Preserved
S12-radial-hsv	radial/hsv	1	0	false	Preserved
S12-linear-luma	linear/luma	1	0	false	Preserved
S12-radial-luma	radial/luma	1	0	false	Preserved
S13-linear-oklch	linear/oklch	1	0	false	Preserved
S13-radial-oklch	radial/oklch	1	0	false	Preserved
S13-linear-hsl	linear/hsl	1	0	false	Preserved
S13-radial-hsl	radial/hsl	1	0	false	Preserved
S13-linear-hsv	linear/hsv	1	0	false	Preserved
S13-radial-hsv	radial/hsv	1	0	false	Preserved
S13-linear-luma	linear/luma	1	0	false	Preserved
S13-radial-luma	radial/luma	1	0	false	Preserved
S14-linear-oklch	linear/oklch	1	0	false	Preserved
S14-radial-oklch	radial/oklch	1	0	false	Preserved
S14-linear-hsl	linear/hsl	1	0	false	Preserved
S14-radial-hsl	radial/hsl	1	0	false	Preserved
S14-linear-hsv	linear/hsv	1	0	false	Preserved
S14-radial-hsv	radial/hsv	1	0	false	Preserved
S14-linear-luma	linear/luma	1	0	false	Preserved
S14-radial-luma	radial/luma	1	0	false	Preserved
S15-linear-oklch	linear/oklch	1	0	false	Preserved
S15-radial-oklch	radial/oklch	1	0	false	Preserved
S15-linear-hsl	linear/hsl	1	0	false	Preserved
S15-radial-hsl	radial/hsl	1	0	false	Preserved
S15-linear-hsv	linear/hsv	1	0	false	Preserved
S15-radial-hsv	radial/hsv	1	0	false	Preserved
S15-linear-luma	linear/luma	1	0	false	Preserved
S15-radial-luma	radial/luma	1	0	false	Preserved
S16-linear-oklch	linear/oklch	1	0	false	Preserved
S16-radial-oklch	radial/oklch	1	0	false	Preserved
S16-linear-hsl	linear/hsl	1	0	false	Preserved
S16-radial-hsl	radial/hsl	1	0	false	Preserved
S16-linear-hsv	linear/hsv	1	0	false	Preserved
S16-radial-hsv	radial/hsv	1	0	false	Preserved
S16-linear-luma	linear/luma	1	0	false	Preserved
