fixture_id	pair	seed	logical_stops	public_constructor_stops	operation	anti_alias	role	transform	box	source_sha256	expression_sha256
S01-linear-oklch	linear/oklch	S01	2	2	constructor	true	fill	identity	square	c933635ff52ddc58bfe745cf73d8c034806a20e8cd2a6bf7b6cd2be332e9ccf7	cf249965cef82ce6428f7b59b1fb002ccec1d2c3c34b589442cbe799738f7f7a
S01-radial-oklch	radial/oklch	S01	2	2	constructor	true	fill	identity	square	c46e396a7b1e90ddc4ee8265ee025889ae571b5012c84394e8d015d96e2b48ff	db4e71f3a851282825c166ef218738ae4ac19a1f0897a7c7de49d199db2d22af
S01-linear-hsl	linear/hsl	S01	2	2	constructor	true	fill	identity	square	0429c346ef9ebd97b6d5e012d50918a6255c11ae8e63f6306b4bd35a08869e5e	52c28ffe45174dec35a0317bf5897c8bab6af76ff4e92c8dacdbbfffefdf9d92
S01-radial-hsl	radial/hsl	S01	2	2	constructor	true	fill	identity	square	dded821a522dc7cbb11f6150a738970cc88992af13f7e79027f53bfedbc31daa	6306aadd363aee4480716c0163fca45642e8f7f721e95adeb6e9c883bafa99b5
S01-linear-hsv	linear/hsv	S01	2	2	constructor	true	fill	identity	square	d8ec9d1342c334e635137227de601d1b13653f58db86d6a1bbc593ccb071713d	23189b7b2a2fba860870e522de18296fdd2dc18b5b71214aa5a757b0dcd6c32c
S01-radial-hsv	radial/hsv	S01	2	2	constructor	true	fill	identity	square	2a9743eb9027c5360f6367d7c4006be48723002cb59d07ca660a4f9ba0901c61	845ff4af06aaa68cc96d5a3f8730cf4a2d6bd5dc0b4a93faa3332c9565277bc1
S01-linear-luma	linear/luma	S01	2	2	constructor	true	fill	identity	square	9ad6df69ae614a1d538a82ba75d53670cccdd61ae1e047c13d717543fe41764b	00ab3fb6138419aca694de5542f057c59cc715d3765c4d67a10c49ae8a695497
S01-radial-luma	radial/luma	S01	2	2	constructor	true	fill	identity	square	3cecc9ea56d169df131468d72f92efd48facd3a93f204b9073673a9422ca593f	724f1dbff57a23ef6444f496e3cee6e5e263555a84244fb4bd8725a079afd216
S02-linear-oklch	linear/oklch	S02	3	3	constructor	true	stroke	rotate37	wide	4af94ed5ba703d7aab4681fc50090da75439fc501f8a767cf19a65bef5d224fc	4281e26bb63ffa5a748dc302b31bbf41cf4dd19e61d8301a382e1650a6e67091
S02-radial-oklch	radial/oklch	S02	3	3	constructor	true	stroke	rotate37	wide	5b417012d40c3fe1a0ab210b374b79e68a78e6fbd14571db78f5ecd3dfc45165	0de5d8bfc12629c84e48237bf4b09131d4a1e9aed0e4fe453e8d21ef191ebffa
S02-linear-hsl	linear/hsl	S02	3	3	constructor	true	stroke	rotate37	wide	93bc22cc0ada684ac07c3edf827696b0648a2b2b4bf82eb092dbe39ca7623e45	32388bd4642a744744239f4a435be1ee78557999e4981a0596bbc782d24d969b
S02-radial-hsl	radial/hsl	S02	3	3	constructor	true	stroke	rotate37	wide	9515f4bdd7c37b5e231f6826db359a80c76e8c6329bb882d4bb8d32634bd013f	07492ef80a355176322b85cb8a59e0a58afc0ff1a94a1720c0bd6345c1209c4c
S02-linear-hsv	linear/hsv	S02	3	3	constructor	true	stroke	rotate37	wide	6cd5c492ab728288491656c64db09105976d8ca18c44c8ecd6b4cd4b832153fd	59f224e034859e0ea6cbba7a884f61382b3cdbfd0655e2438f6b091583df550d
S02-radial-hsv	radial/hsv	S02	3	3	constructor	true	stroke	rotate37	wide	85f2235d7d21df690519aae11532d7be2040082601951ee97957ec7493f0a706	fd20fef9865803e5f1d491b5668a09c582b3b6b5ffc43bd0492d780e2f6c0c8e
S02-linear-luma	linear/luma	S02	3	3	constructor	true	stroke	rotate37	wide	64a907273d6e3bd4ee1b13bf5efead701f6b3ced4e4cd82af3d0afd7616caf32	3ed875ce27dee3bbf5c552928658cc2494408f7ee75bacdcb46e9deb0c3727fd
S02-radial-luma	radial/luma	S02	3	3	constructor	true	stroke	rotate37	wide	9751ddb00a2775115c0cddb5eab79a10cf7e43f45adbf7d22d9f71d85f3ec3f1	db1ab072ed820efb65586841fb45f952da722d56fe4c0a0931099bd033f8082a
S03-linear-oklch	linear/oklch	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	3e4b4c5208e0f68da35dd6f4094a61f4a84ad5003b7024d339a212ba13300c37	9295655377f84a49ee274832bea0df57c5a282864bd209ee27281ecc5d68579d
S03-radial-oklch	radial/oklch	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	b534745e9e61eefa47f9e54835be77bea515f46a0ebfdc40dd8513cfa0617d05	dbc78d2c1fd0cd1561570b622354f99f4c945d8bd3e7ac549ac2d86d4ce5a0b5
S03-linear-hsl	linear/hsl	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	2e216e5bfe430b24ddfeacefb1dc3184afd00296aa07e668ee381a0b039fdd93	1fbb93614709c2af11d07eced42ed50a4c3a302665a61824077e56ecadb55436
S03-radial-hsl	radial/hsl	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	50d4b8710029b543b34fbe133ad522cbdd24f5dca10dcaeb0a9837c3cb809361	8b3cc758aa87fad3c53b59eb2003b3431f411969b5e30a0562587145bd7c6928
S03-linear-hsv	linear/hsv	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	73ec85e8ec9079662092acc049e2f2f0135d8e952519b24c1715a12364658dc8	41fe86123537d90f2165d98837c2a164f84df0abcf4392420520d976b914971c
S03-radial-hsv	radial/hsv	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	21eb04edf7c8c1378157e2672f0de5acdfea7cf2db674243c2e9d7f1ee2bea6c	fed72ce4e76f3725a4aa16122cf1bf2143b5b46a311d0993cc440255ecf14dcd
S03-linear-luma	linear/luma	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	40826fc8fd87a5517e86d8e4de5fc40387249e192485b8a11c8021d77d02fae4	e8623c8bc9de2a14724f3057c7d36e2f8928986e4581ffecca37e318e9968309
