fixture_id	pair	interval	left	right	eligible	s_i	a_i	d_i	b_i	q_i	status
S01-linear-oklch	linear/oklch	0	0	1	true	64	28	57	56	113	Preserved
S01-radial-oklch	radial/oklch	0	0	1	true	64	28	57	56	113	Preserved
S01-linear-hsl	linear/hsl	0	0	1	true	64	18	37	36	73	Preserved
S01-radial-hsl	radial/hsl	0	0	1	true	64	18	37	36	73	Preserved
S01-linear-hsv	linear/hsv	0	0	1	true	64	19	39	38	77	Preserved
S01-radial-hsv	radial/hsv	0	0	1	true	64	19	39	38	77	Preserved
S01-linear-luma	linear/luma	0	0	1	true	1	0	1	0	1	Preserved
S01-radial-luma	radial/luma	0	0	1	true	1	0	1	0	1	Preserved
S02-linear-oklch	linear/oklch	0	0	0.5	true	16	9	19	18	37	Preserved
S02-linear-oklch	linear/oklch	1	0.5	1	true	16	11	23	22	45	Preserved
S02-radial-oklch	radial/oklch	0	0	0.5	true	16	9	19	18	37	Preserved
S02-radial-oklch	radial/oklch	1	0.5	1	true	16	11	23	22	45	Preserved
S02-linear-hsl	linear/hsl	0	0	0.5	true	64	10	21	20	41	Preserved
S02-linear-hsl	linear/hsl	1	0.5	1	true	64	23	47	46	93	Preserved
S02-radial-hsl	radial/hsl	0	0	0.5	true	64	10	21	20	41	Preserved
S02-radial-hsl	radial/hsl	1	0.5	1	true	64	23	47	46	93	Preserved
S02-linear-hsv	linear/hsv	0	0	0.5	true	64	10	21	20	41	Preserved
S02-linear-hsv	linear/hsv	1	0.5	1	true	64	13	27	26	53	Preserved
S02-radial-hsv	radial/hsv	0	0	0.5	true	64	10	21	20	41	Preserved
S02-radial-hsv	radial/hsv	1	0.5	1	true	64	13	27	26	53	Preserved
S02-linear-luma	linear/luma	0	0	0.5	true	1	0	1	0	1	Preserved
S02-linear-luma	linear/luma	1	0.5	1	true	1	0	1	0	1	Preserved
S02-radial-luma	radial/luma	0	0	0.5	true	1	0	1	0	1	Preserved
S02-radial-luma	radial/luma	1	0.5	1	true	1	0	1	0	1	Preserved
S03-linear-oklch	linear/oklch	0	0	0.037037037037037	true	64	22	45	44	89	Preserved
S03-linear-oklch	linear/oklch	1	0.037037037037037	0.296296296296296	true	64	19	39	38	77	Preserved
S03-linear-oklch	linear/oklch	2	0.296296296296296	1	true	64	34	69	68	137	Preserved
S03-radial-oklch	radial/oklch	0	0	0.037037037037037	true	64	22	45	44	89	Preserved
S03-radial-oklch	radial/oklch	1	0.037037037037037	0.296296296296296	true	64	19	39	38	77	Preserved
S03-radial-oklch	radial/oklch	2	0.296296296296296	1	true	64	34	69	68	137	Preserved
S03-linear-hsl	linear/hsl	0	0	0.037037037037037	true	64	15	31	30	61	Preserved
S03-linear-hsl	linear/hsl	1	0.037037037037037	0.296296296296296	true	32	16	33	32	65	Preserved
S03-linear-hsl	linear/hsl	2	0.296296296296296	1	true	64	21	43	42	85	Preserved
S03-radial-hsl	radial/hsl	0	0	0.037037037037037	true	64	15	31	30	61	Preserved
S03-radial-hsl	radial/hsl	1	0.037037037037037	0.296296296296296	true	32	16	33	32	65	Preserved
S03-radial-hsl	radial/hsl	2	0.296296296296296	1	true	64	21	43	42	85	Preserved
S03-linear-hsv	linear/hsv	0	0	0.037037037037037	true	64	13	27	26	53	Preserved
S03-linear-hsv	linear/hsv	1	0.037037037037037	0.296296296296296	true	32	16	33	32	65	Preserved
S03-linear-hsv	linear/hsv	2	0.296296296296296	1	true	64	21	43	42	85	Preserved
S03-radial-hsv	radial/hsv	0	0	0.037037037037037	true	64	13	27	26	53	Preserved
S03-radial-hsv	radial/hsv	1	0.037037037037037	0.296296296296296	true	32	16	33	32	65	Preserved
S03-radial-hsv	radial/hsv	2	0.296296296296296	1	true	64	21	43	42	85	Preserved
S03-linear-luma	linear/luma	0	0	0.037037037037037	true	1	0	1	0	1	Preserved
S03-linear-luma	linear/luma	1	0.037037037037037	0.296296296296296	true	1	0	1	0	1	Preserved
S03-linear-luma	linear/luma	2	0.296296296296296	1	true	1	0	1	0	1	Preserved
S03-radial-luma	radial/luma	0	0	0.037037037037037	true	1	0	1	0	1	Preserved
S03-radial-luma	radial/luma	1	0.037037037037037	0.296296296296296	true	1	0	1	0	1	Preserved
S03-radial-luma	radial/luma	2	0.296296296296296	1	true	1	0	1	0	1	Preserved
S04-linear-oklch	linear/oklch	0	0	0.370262390670554	true	64	28	57	56	113	Preserved
S04-linear-oklch	linear/oklch	1	0.370262390670554	0.635568513119533	true	64	15	31	30	61	Preserved
S04-linear-oklch	linear/oklch	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-linear-oklch	linear/oklch	3	0.81341107871720097	0.92128279883381892	true	64	11	23	22	45	Preserved
S04-linear-oklch	linear/oklch	4	0.92128279883381892	0.97667638483965002	true	64	28	57	56	113	Preserved
S04-linear-oklch	linear/oklch	5	0.97667638483965002	0.99708454810495595	true	64	15	31	30	61	Preserved
S04-linear-oklch	linear/oklch	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-radial-oklch	radial/oklch	0	0	0.370262390670554	true	64	28	57	56	113	Preserved
S04-radial-oklch	radial/oklch	1	0.370262390670554	0.635568513119533	true	64	15	31	30	61	Preserved
S04-radial-oklch	radial/oklch	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-radial-oklch	radial/oklch	3	0.81341107871720097	0.92128279883381892	true	64	11	23	22	45	Preserved
S04-radial-oklch	radial/oklch	4	0.92128279883381892	0.97667638483965002	true	64	28	57	56	113	Preserved
S04-radial-oklch	radial/oklch	5	0.97667638483965002	0.99708454810495595	true	64	15	31	30	61	Preserved
S04-radial-oklch	radial/oklch	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-linear-hsl	linear/hsl	0	0	0.370262390670554	true	64	18	37	36	73	Preserved
S04-linear-hsl	linear/hsl	1	0.370262390670554	0.635568513119533	true	32	10	21	20	41	Preserved
S04-linear-hsl	linear/hsl	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-linear-hsl	linear/hsl	3	0.81341107871720097	0.92128279883381892	true	8	6	13	12	25	Preserved
S04-linear-hsl	linear/hsl	4	0.92128279883381892	0.97667638483965002	true	64	18	37	36	73	Preserved
S04-linear-hsl	linear/hsl	5	0.97667638483965002	0.99708454810495595	true	32	10	21	20	41	Preserved
S04-linear-hsl	linear/hsl	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-radial-hsl	radial/hsl	0	0	0.370262390670554	true	64	18	37	36	73	Preserved
S04-radial-hsl	radial/hsl	1	0.370262390670554	0.635568513119533	true	32	10	21	20	41	Preserved
S04-radial-hsl	radial/hsl	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-radial-hsl	radial/hsl	3	0.81341107871720097	0.92128279883381892	true	8	6	13	12	25	Preserved
S04-radial-hsl	radial/hsl	4	0.92128279883381892	0.97667638483965002	true	64	18	37	36	73	Preserved
S04-radial-hsl	radial/hsl	5	0.97667638483965002	0.99708454810495595	true	32	10	21	20	41	Preserved
S04-radial-hsl	radial/hsl	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-linear-hsv	linear/hsv	0	0	0.370262390670554	true	64	19	39	38	77	Preserved
S04-linear-hsv	linear/hsv	1	0.370262390670554	0.635568513119533	true	32	9	19	18	37	Preserved
S04-linear-hsv	linear/hsv	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-linear-hsv	linear/hsv	3	0.81341107871720097	0.92128279883381892	true	8	6	13	12	25	Preserved
S04-linear-hsv	linear/hsv	4	0.92128279883381892	0.97667638483965002	true	64	19	39	38	77	Preserved
S04-linear-hsv	linear/hsv	5	0.97667638483965002	0.99708454810495595	true	32	9	19	18	37	Preserved
S04-linear-hsv	linear/hsv	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-radial-hsv	radial/hsv	0	0	0.370262390670554	true	64	19	39	38	77	Preserved
S04-radial-hsv	radial/hsv	1	0.370262390670554	0.635568513119533	true	32	9	19	18	37	Preserved
S04-radial-hsv	radial/hsv	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-radial-hsv	radial/hsv	3	0.81341107871720097	0.92128279883381892	true	8	6	13	12	25	Preserved
S04-radial-hsv	radial/hsv	4	0.92128279883381892	0.97667638483965002	true	64	19	39	38	77	Preserved
S04-radial-hsv	radial/hsv	5	0.97667638483965002	0.99708454810495595	true	32	9	19	18	37	Preserved
S04-radial-hsv	radial/hsv	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	0	0	0.370262390670554	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	1	0.370262390670554	0.635568513119533	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	3	0.81341107871720097	0.92128279883381892	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	4	0.92128279883381892	0.97667638483965002	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	5	0.97667638483965002	0.99708454810495595	true	1	0	1	0	1	Preserved
S04-linear-luma	linear/luma	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	0	0	0.370262390670554	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	1	0.370262390670554	0.635568513119533	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	2	0.635568513119533	0.81341107871720097	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	3	0.81341107871720097	0.92128279883381892	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	4	0.92128279883381892	0.97667638483965002	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	5	0.97667638483965002	0.99708454810495595	true	1	0	1	0	1	Preserved
S04-radial-luma	radial/luma	6	0.99708454810495595	1	true	1	0	1	0	1	Preserved
S05-linear-oklch	linear/oklch	0	0	0.022222222222222202	true	64	22	45	44	89	Preserved
S05-linear-oklch	linear/oklch	1	0.022222222222222202	0.088888888888888892	true	64	18	37	36	73	Preserved
S05-linear-oklch	linear/oklch	2	0.088888888888888892	0.20000000000000001	true	64	27	55	54	109	Preserved
S05-linear-oklch	linear/oklch	3	0.20000000000000001	0.24444444444444399	true	64	22	45	44	89	Preserved
S05-linear-oklch	linear/oklch	4	0.24444444444444399	0.33333333333333298	true	16	6	13	12	25	Preserved
S05-linear-oklch	linear/oklch	5	0.33333333333333298	0.35555555555555601	true	64	22	45	44	89	Preserved
S05-linear-oklch	linear/oklch	6	0.35555555555555601	0.422222222222222	true	64	18	37	36	73	Preserved
S05-linear-oklch	linear/oklch	7	0.422222222222222	0.53333333333333299	true	64	27	55	54	109	Preserved
S05-linear-oklch	linear/oklch	8	0.53333333333333299	0.57777777777777795	true	64	22	45	44	89	Preserved
S05-linear-oklch	linear/oklch	9	0.57777777777777795	0.66666666666666696	true	16	6	13	12	25	Preserved
S05-linear-oklch	linear/oklch	10	0.66666666666666696	0.68888888888888899	true	64	22	45	44	89	Preserved
S05-linear-oklch	linear/oklch	11	0.68888888888888899	0.75555555555555598	true	64	18	37	36	73	Preserved
S05-linear-oklch	linear/oklch	12	0.75555555555555598	0.86666666666666703	true	64	27	55	54	109	Preserved
S05-linear-oklch	linear/oklch	13	0.86666666666666703	0.91111111111111098	true	64	22	45	44	89	Preserved
S05-linear-oklch	linear/oklch	14	0.91111111111111098	1	true	16	6	13	12	25	Preserved
S05-radial-oklch	radial/oklch	0	0	0.022222222222222202	true	64	22	45	44	89	Preserved
S05-radial-oklch	radial/oklch	1	0.022222222222222202	0.088888888888888892	true	64	18	37	36	73	Preserved
S05-radial-oklch	radial/oklch	2	0.088888888888888892	0.20000000000000001	true	64	27	55	54	109	Preserved
S05-radial-oklch	radial/oklch	3	0.20000000000000001	0.24444444444444399	true	64	22	45	44	89	Preserved
S05-radial-oklch	radial/oklch	4	0.24444444444444399	0.33333333333333298	true	16	6	13	12	25	Preserved
S05-radial-oklch	radial/oklch	5	0.33333333333333298	0.35555555555555601	true	64	22	45	44	89	Preserved
S05-radial-oklch	radial/oklch	6	0.35555555555555601	0.422222222222222	true	64	18	37	36	73	Preserved
S05-radial-oklch	radial/oklch	7	0.422222222222222	0.53333333333333299	true	64	27	55	54	109	Preserved
S05-radial-oklch	radial/oklch	8	0.53333333333333299	0.57777777777777795	true	64	22	45	44	89	Preserved
S05-radial-oklch	radial/oklch	9	0.57777777777777795	0.66666666666666696	true	16	6	13	12	25	Preserved
S05-radial-oklch	radial/oklch	10	0.66666666666666696	0.68888888888888899	true	64	22	45	44	89	Preserved
S05-radial-oklch	radial/oklch	11	0.68888888888888899	0.75555555555555598	true	64	18	37	36	73	Preserved
S05-radial-oklch	radial/oklch	12	0.75555555555555598	0.86666666666666703	true	64	27	55	54	109	Preserved
S05-radial-oklch	radial/oklch	13	0.86666666666666703	0.91111111111111098	true	64	22	45	44	89	Preserved
S05-radial-oklch	radial/oklch	14	0.91111111111111098	1	true	16	6	13	12	25	Preserved
S05-linear-hsl	linear/hsl	0	0	0.022222222222222202	true	64	15	31	30	61	Preserved
S05-linear-hsl	linear/hsl	1	0.022222222222222202	0.088888888888888892	true	32	12	25	24	49	Preserved
S05-linear-hsl	linear/hsl	2	0.088888888888888892	0.20000000000000001	true	64	16	33	32	65	Preserved
S05-linear-hsl	linear/hsl	3	0.20000000000000001	0.24444444444444399	true	64	6	13	12	25	Preserved
S05-linear-hsl	linear/hsl	4	0.24444444444444399	0.33333333333333298	true	16	7	15	14	29	Preserved
S05-linear-hsl	linear/hsl	5	0.33333333333333298	0.35555555555555601	true	64	15	31	30	61	Preserved
S05-linear-hsl	linear/hsl	6	0.35555555555555601	0.422222222222222	true	32	12	25	24	49	Preserved
S05-linear-hsl	linear/hsl	7	0.422222222222222	0.53333333333333299	true	64	16	33	32	65	Preserved
S05-linear-hsl	linear/hsl	8	0.53333333333333299	0.57777777777777795	true	64	6	13	12	25	Preserved
S05-linear-hsl	linear/hsl	9	0.57777777777777795	0.66666666666666696	true	16	7	15	14	29	Preserved
S05-linear-hsl	linear/hsl	10	0.66666666666666696	0.68888888888888899	true	64	15	31	30	61	Preserved
S05-linear-hsl	linear/hsl	11	0.68888888888888899	0.75555555555555598	true	32	12	25	24	49	Preserved
S05-linear-hsl	linear/hsl	12	0.75555555555555598	0.86666666666666703	true	64	16	33	32	65	Preserved
S05-linear-hsl	linear/hsl	13	0.86666666666666703	0.91111111111111098	true	64	6	13	12	25	Preserved
S05-linear-hsl	linear/hsl	14	0.91111111111111098	1	true	16	7	15	14	29	Preserved
S05-radial-hsl	radial/hsl	0	0	0.022222222222222202	true	64	15	31	30	61	Preserved
S05-radial-hsl	radial/hsl	1	0.022222222222222202	0.088888888888888892	true	32	12	25	24	49	Preserved
S05-radial-hsl	radial/hsl	2	0.088888888888888892	0.20000000000000001	true	64	16	33	32	65	Preserved
S05-radial-hsl	radial/hsl	3	0.20000000000000001	0.24444444444444399	true	64	6	13	12	25	Preserved
S05-radial-hsl	radial/hsl	4	0.24444444444444399	0.33333333333333298	true	16	7	15	14	29	Preserved
S05-radial-hsl	radial/hsl	5	0.33333333333333298	0.35555555555555601	true	64	15	31	30	61	Preserved
S05-radial-hsl	radial/hsl	6	0.35555555555555601	0.422222222222222	true	32	12	25	24	49	Preserved
S05-radial-hsl	radial/hsl	7	0.422222222222222	0.53333333333333299	true	64	16	33	32	65	Preserved
S05-radial-hsl	radial/hsl	8	0.53333333333333299	0.57777777777777795	true	64	6	13	12	25	Preserved
S05-radial-hsl	radial/hsl	9	0.57777777777777795	0.66666666666666696	true	16	7	15	14	29	Preserved
S05-radial-hsl	radial/hsl	10	0.66666666666666696	0.68888888888888899	true	64	15	31	30	61	Preserved
S05-radial-hsl	radial/hsl	11	0.68888888888888899	0.75555555555555598	true	32	12	25	24	49	Preserved
S05-radial-hsl	radial/hsl	12	0.75555555555555598	0.86666666666666703	true	64	16	33	32	65	Preserved
S05-radial-hsl	radial/hsl	13	0.86666666666666703	0.91111111111111098	true	64	6	13	12	25	Preserved
