mutant_id	executed	witness	status
M01-drop-linear	true	one geometry omitted	REJECTED
M02-drop-radial	true	one geometry omitted	REJECTED
M03-drop-oklch	true	Oklch omitted	REJECTED
M04-drop-hsl	true	Hsl omitted	REJECTED
M05-drop-hsv	true	Hsv omitted	REJECTED
M06-promote-luma	true	Luma enters allowlist	REJECTED
M07-promote-cmyk	true	CMYK enters allowlist	REJECTED
M08-wildcard-spaces	true	allowlist is wider than six pairs	REJECTED
M09-unresolved-reference	true	native graph has a pending URL	REJECTED
M10-retain-polar-fallback	true	fallback survives beside promotion	REJECTED
M11-solid-disguise	true	paint is reduced to a solid	REJECTED
M12-bypass-adaptive	true	productive route skips adaptive stops	REJECTED
M13-drop-alpha	true	alpha carrier is ignored	REJECTED
M14-fill-only	true	stroke has no independent receipt	REJECTED
M15-accept-bytes-or-ids	true	language graph is not checked	REJECTED
M16-widen-budget	true	sealed threshold or cap changes	REJECTED
M17-unknown-as-success	true	Unknown enters success	REJECTED
M18-general-equivalence	true	fragment claim is overgeneralized	REJECTED
