fixture_id	pair	sealed_evidence_sha256	actual_stops	route_identity	status
S01-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	20	Inherited-P1279	Preserved
S01-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	21	Inherited-P1279	Preserved
S01-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S01-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	30	Inherited-P1279	Preserved
S01-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	20	Inherited-P1279	Preserved
S01-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	21	Inherited-P1279	Preserved
S01-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S01-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	30	Inherited-P1279	Preserved
S02-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	36	Inherited-P1279	Preserved
S02-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S02-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S02-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	23	Inherited-P1279	Preserved
S02-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	36	Inherited-P1279	Preserved
S02-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S02-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S02-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	23	Inherited-P1279	Preserved
S03-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	56	Inherited-P1279	Preserved
S03-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	54	Inherited-P1279	Preserved
S03-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S03-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	79	Inherited-P1279	Preserved
S03-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	56	Inherited-P1279	Preserved
S03-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	54	Inherited-P1279	Preserved
S03-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S03-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	79	Inherited-P1279	Preserved
S04-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	70	Inherited-P1279	Preserved
S04-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	70	Inherited-P1279	Preserved
S04-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S04-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	105	Inherited-P1279	Preserved
S04-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	70	Inherited-P1279	Preserved
S04-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	70	Inherited-P1279	Preserved
S04-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S04-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	105	Inherited-P1279	Preserved
S05-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	184	Inherited-P1279	Preserved
S05-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	175	Inherited-P1279	Preserved
S05-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S05-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	301	Inherited-P1279	Preserved
S05-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	184	Inherited-P1279	Preserved
S05-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	175	Inherited-P1279	Preserved
S05-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S05-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	301	Inherited-P1279	Preserved
S06-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	325	Inherited-P1279	Preserved
S06-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	292	Inherited-P1279	Preserved
S06-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S06-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	786	Inherited-P1279	Preserved
S06-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	325	Inherited-P1279	Preserved
S06-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	292	Inherited-P1279	Preserved
S06-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S06-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	786	Inherited-P1279	Preserved
S07-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	21	Inherited-P1279	Preserved
S07-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	22	Inherited-P1279	Preserved
S07-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S07-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S07-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	21	Inherited-P1279	Preserved
S07-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	22	Inherited-P1279	Preserved
S07-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S07-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S08-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	18	Inherited-P1279	Preserved
S08-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	20	Inherited-P1279	Preserved
S08-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S08-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	30	Inherited-P1279	Preserved
S08-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	18	Inherited-P1279	Preserved
S08-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	20	Inherited-P1279	Preserved
S08-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S08-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	30	Inherited-P1279	Preserved
S09-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	33	Inherited-P1279	Preserved
S09-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	33	Inherited-P1279	Preserved
S09-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S09-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	48	Inherited-P1279	Preserved
S09-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	33	Inherited-P1279	Preserved
S09-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	33	Inherited-P1279	Preserved
S09-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S09-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	48	Inherited-P1279	Preserved
S10-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S10-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S10-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S10-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S10-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S10-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S10-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S10-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S11-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	253	Inherited-P1279	Preserved
S11-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	257	Inherited-P1279	Preserved
S11-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S11-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	379	Inherited-P1279	Preserved
S11-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	253	Inherited-P1279	Preserved
S11-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	257	Inherited-P1279	Preserved
S11-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S11-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	379	Inherited-P1279	Preserved
S12-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	436	Inherited-P1279	Preserved
S12-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	347	Inherited-P1279	Preserved
S12-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S12-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	303	Inherited-P1279	Preserved
S12-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	436	Inherited-P1279	Preserved
S12-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	347	Inherited-P1279	Preserved
S12-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S12-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	303	Inherited-P1279	Preserved
S13-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	4	Inherited-P1279	Preserved
S13-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	4	Inherited-P1279	Preserved
S13-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S13-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	4	Inherited-P1279	Preserved
S13-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	4	Inherited-P1279	Preserved
S13-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	4	Inherited-P1279	Preserved
S13-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S13-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	4	Inherited-P1279	Preserved
S14-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	6	Inherited-P1279	Preserved
S14-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	6	Inherited-P1279	Preserved
S14-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S14-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	6	Inherited-P1279	Preserved
S14-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	6	Inherited-P1279	Preserved
S14-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	6	Inherited-P1279	Preserved
S14-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S14-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	6	Inherited-P1279	Preserved
S15-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	16	Inherited-P1279	Preserved
S15-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	16	Inherited-P1279	Preserved
S15-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S15-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	16	Inherited-P1279	Preserved
S15-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	16	Inherited-P1279	Preserved
S15-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	16	Inherited-P1279	Preserved
S15-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S15-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	16	Inherited-P1279	Preserved
S16-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	118	Inherited-P1279	Preserved
S16-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	120	Inherited-P1279	Preserved
S16-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S16-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	170	Inherited-P1279	Preserved
S16-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	118	Inherited-P1279	Preserved
S16-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	120	Inherited-P1279	Preserved
S16-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S16-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	170	Inherited-P1279	Preserved
S17-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	59	Inherited-P1279	Preserved
S17-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	49	Inherited-P1279	Preserved
S17-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S17-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	45	Inherited-P1279	Preserved
S17-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	59	Inherited-P1279	Preserved
S17-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	49	Inherited-P1279	Preserved
S17-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S17-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	45	Inherited-P1279	Preserved
S18-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S18-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S18-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S18-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
