path	profiles	runtime_class	crystalline_registration_file_line	vanilla_source_file_line	canonical_route	owner_prompt	owner_prompt_hash_declared	owner_prompt_sha256	l0_claim	language_class	gate_class	inference	refutation	recommended_action
accent	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1980	ABSENT in ratified public catalog	math.accent	00_nucleo/prompts/compiler/stdlib/structural/math.md	81441281	18b2fb0d9a3e1f6a0ff9cd8fb2e25047b4c9f2185cb6a511ae022e7a9c4e80a2	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
angle.deg	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/layout/angle.rs:Angle::to_deg		00_nucleo/prompts/compiler/eval/bindings/field_access.md	d37b05cb	3e5b96f5d62a693cb8291f63cd656a73ba19ebd69e29446858d36e475bff4a60	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
angle.rad	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/layout/angle.rs:Angle::to_rad		00_nucleo/prompts/compiler/eval/bindings/field_access.md	d37b05cb	3e5b96f5d62a693cb8291f63cd656a73ba19ebd69e29446858d36e475bff4a60	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
asset	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1976	ABSENT in ratified public catalog		00_nucleo/prompts/compiler/stdlib/structural.md	08c5c5f3	81e66889454d8f397ab5eafbd4c6a5e0f8a27993e15d2f3c81d307e804ff3b12	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
bb	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1987	ABSENT in ratified public catalog	math.bb	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
bold	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1988	ABSENT in ratified public catalog	math.bold	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
cal	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1989	ABSENT in ratified public catalog	math.cal	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
calc.deg	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/stdlib/calc.rs:90	ABSENT in ratified public catalog		00_nucleo/prompts/compiler/stdlib/calc.md	4f58eb82	0fc04b14b3cca19a203823ef392b56509d7ea2ff12a43550b2654fa2bb120f81	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
calc.log10	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/stdlib/calc.rs:87	ABSENT in ratified public catalog		00_nucleo/prompts/compiler/stdlib/calc.md	4f58eb82	0fc04b14b3cca19a203823ef392b56509d7ea2ff12a43550b2654fa2bb120f81	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
calc.rad	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/stdlib/calc.rs:91	ABSENT in ratified public catalog		00_nucleo/prompts/compiler/stdlib/calc.md	4f58eb82	0fc04b14b3cca19a203823ef392b56509d7ea2ff12a43550b2654fa2bb120f81	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
