path	profiles	runtime_class_by_profile	previous_class	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_hash_declared	owner_prompt_sha256	l0_claim	gate_class	inference	refutation	recommended_action	universe	probe_id	canonical_route
accent	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/math.rs:1141	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/math.md	81441281	18b2fb0d9a3e1f6a0ff9cd8fb2e25047b4c9f2185cb6a511ae022e7a9c4e80a2	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-accent	math.accent
angle.deg	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/layout/angle.rs:150	00_nucleo/prompts/compiler/eval/bindings/field_access.md	2d102890	92aa897909abfb6095ab59191614b0fd87c0d648e8e593ed8f0702176c2a542e	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-angle.deg	
angle.rad	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/layout/angle.rs:144	00_nucleo/prompts/compiler/eval/bindings/field_access.md	2d102890	92aa897909abfb6095ab59191614b0fd87c0d648e8e593ed8f0702176c2a542e	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-angle.rad	
asset	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/document.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/document.md	093b7ea0	efeabfeb8286212f9c29ad97caf225efc38977139671cb74a6813dc744ee1a92	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-asset	
bb	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/math_style.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-bb	math.bb
bold	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/math_style.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-bold	math.bold
cal	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/math_style.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-cal	math.cal
calc.deg	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/calc.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/calc.md	4f58eb82	0fc04b14b3cca19a203823ef392b56509d7ea2ff12a43550b2654fa2bb120f81	calc.md não explicita estes três extras; intenção de retenção consta em calc.rs:18 e :87-91. Lacuna documental não equivale a proibição normativa.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-calc.deg	
calc.log10	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/calc.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/calc.md	4f58eb82	0fc04b14b3cca19a203823ef392b56509d7ea2ff12a43550b2654fa2bb120f81	calc.md não explicita estes três extras; intenção de retenção consta em calc.rs:18 e :87-91. Lacuna documental não equivale a proibição normativa.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-calc.log10	
calc.rad	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/calc.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/calc.md	4f58eb82	0fc04b14b3cca19a203823ef392b56509d7ea2ff12a43550b2654fa2bb120f81	calc.md não explicita estes três extras; intenção de retenção consta em calc.rs:18 e :87-91. Lacuna documental não equivale a proibição normativa.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-calc.rad	
