path	probe_id	profiles	runtime_class_by_profile	previous_class	transition	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_sha256	owner_prompt_hash_declared	consumer_unique	consumer_prompt_hash	language_observable	normative_intent	normative_evidence	causal_hypothesis	refutation	gate_class	recommended_action	universe	canonical_route	cohort_id	measurement_ref
accent	path-accent	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	UNCHANGED	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/math.rs:1141	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/math.md	4c0fe0f10d5d673f5de36ce48ceef9871307b13d2d229dad0a458062f9cdc7fb	4a4d07ab	01_core/src/compiler/stdlib/structural/math.rs	e658276b	repr((type(accent), repr(accent)))	Explicit global structural natives, with owner signatures; underover also explicitly intentional at structural.md:642.	00_nucleo/prompts/compiler/stdlib/structural.md:14	Fresh public lookup and refreshed owner source constrain the missing member; absence is not implementation authorization.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Retain documented extension; exclude from adjusted denominator and parity competition.	principal_historical_167	math.accent		00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-accent]
align	path-align	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(align), repr(align)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-align]
alignment.axis	path-alignment.axis	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.axis), repr(alignment.axis)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.axis]
alignment.bottom	path-alignment.bottom	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.bottom), repr(alignment.bottom)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.bottom]
alignment.center	path-alignment.center	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.center), repr(alignment.center)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.center]
alignment.end	path-alignment.end	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.end), repr(alignment.end)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.end]
alignment.horizon	path-alignment.horizon	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.horizon), repr(alignment.horizon)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.horizon]
alignment.inv	path-alignment.inv	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.inv), repr(alignment.inv)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.inv]
alignment.left	path-alignment.left	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.left), repr(alignment.left)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.left]
alignment.right	path-alignment.right	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.right), repr(alignment.right)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.right]
