path	probe_id	profiles	runtime_class_by_profile	previous_class	transition	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_sha256	consumer_unique	consumer_prompt_hash	language_observable	normative_intent	normative_evidence	causal_hypothesis	refutation	gate_class	universe	canonical_route	cohort_id	measurement_ref
accent	path-accent	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	UNCHANGED_RUNTIME_CLASS	DOCUMENTED_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/math.rs:1141	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/math.md	4c0fe0f10d5d673f5de36ce48ceef9871307b13d2d229dad0a458062f9cdc7fb	01_core/src/compiler/stdlib/structural/math.rs	e658276b	repr((type(accent), repr(accent)))	Explicit global structural natives, with owner signatures; underover also explicitly intentional at structural.md:642.	00_nucleo/prompts/compiler/stdlib/structural.md:14	Fresh public lookup and refreshed owner source constrain the missing member; absence is not implementation authorization.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	accent		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent
align	path-align	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(align), repr(align)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	align		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align
alignment.axis	path-alignment.axis	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.axis), repr(alignment.axis)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.axis		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis
alignment.bottom	path-alignment.bottom	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.bottom), repr(alignment.bottom)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.bottom		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom
alignment.center	path-alignment.center	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.center), repr(alignment.center)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.center		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center
alignment.end	path-alignment.end	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.end), repr(alignment.end)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.end		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end
alignment.horizon	path-alignment.horizon	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.horizon), repr(alignment.horizon)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.horizon		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon
alignment.inv	path-alignment.inv	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.inv), repr(alignment.inv)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.inv		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv
alignment.left	path-alignment.left	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.left), repr(alignment.left)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.left		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left
alignment.right	path-alignment.right	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_CONFIRMED	UNCHANGED_RUNTIME_CLASS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.right), repr(alignment.right)))	Only the frozen lookup/kind/repr/diagnostic expression is measured; no claim about unmeasured function calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile has equal complete observable, or cited current source identifies a different cause/required owner. MATCH does not certify calls absent from the corpus.	NO_CHANGE_AUTHORIZED	principal	alignment.right		00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right
