probe_id	path	profile	previous_runtime_class	current_runtime_class	transition	fixture_comparable	universe	measurement_ref	previous_measurement_ref
path-accent	accent	default	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-accent
path-accent	accent	html	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-accent
path-accent	accent	a11y	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-accent
path-accent	accent	html+a11y	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-accent
path-align	align	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-align
path-align	align	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-align
path-align	align	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-align
path-align	align	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-align
path-alignment.axis	alignment.axis	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.axis
path-alignment.axis	alignment.axis	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.axis
path-alignment.axis	alignment.axis	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.axis
path-alignment.axis	alignment.axis	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.axis
path-alignment.bottom	alignment.bottom	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.bottom
path-alignment.bottom	alignment.bottom	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.bottom
path-alignment.bottom	alignment.bottom	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.bottom
path-alignment.bottom	alignment.bottom	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.bottom
path-alignment.center	alignment.center	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.center
path-alignment.center	alignment.center	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.center
path-alignment.center	alignment.center	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.center
path-alignment.center	alignment.center	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.center
path-alignment.end	alignment.end	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.end
path-alignment.end	alignment.end	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.end
path-alignment.end	alignment.end	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.end
path-alignment.end	alignment.end	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.end
path-alignment.horizon	alignment.horizon	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.horizon
path-alignment.horizon	alignment.horizon	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.horizon
path-alignment.horizon	alignment.horizon	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.horizon
path-alignment.horizon	alignment.horizon	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.horizon
path-alignment.inv	alignment.inv	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.inv
path-alignment.inv	alignment.inv	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.inv
path-alignment.inv	alignment.inv	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.inv
