probe_id	path	aliases	profiles	runtime_class_by_profile	language_projection_by_profile	current_language_class	owner_prompt	crystalline_owner_file_line	vanilla_source_file_line	language_observable	causal_hypothesis	refutation	gate_class	universe	cohort_id	measurement_ref
p1307.construct.None	p1307.construct.None		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type(none)), repr(none))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.None
p1307.json.value.None	p1307.json.value.None		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode(none)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.None
p1307.toml.value.None	p1307.toml.value.None		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: none))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.None
p1307.yaml.value.None	p1307.yaml.value.None		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode(none)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.None
p1307.construct.Bool	p1307.construct.Bool		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type(true)), repr(true))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Bool
p1307.json.value.Bool	p1307.json.value.Bool		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode(true)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Bool
p1307.toml.value.Bool	p1307.toml.value.Bool		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: true))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Bool
p1307.yaml.value.Bool	p1307.yaml.value.Bool		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode(true)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Bool
p1307.construct.Int	p1307.construct.Int		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type(42)), repr(42))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Int
p1307.json.value.Int	p1307.json.value.Int		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode(42)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Int
p1307.toml.value.Int	p1307.toml.value.Int		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: 42))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Int
p1307.yaml.value.Int	p1307.yaml.value.Int		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode(42)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Int
p1307.construct.Float	p1307.construct.Float		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type(1.25)), repr(1.25))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Float
p1307.json.value.Float	p1307.json.value.Float		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode(1.25)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Float
p1307.toml.value.Float	p1307.toml.value.Float		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: 1.25))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Float
p1307.yaml.value.Float	p1307.yaml.value.Float		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode(1.25)	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Float
p1307.construct.Str	p1307.construct.Str		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type("text")), repr("text"))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Str
p1307.json.value.Str	p1307.json.value.Str		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode("text")	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Str
p1307.toml.value.Str	p1307.toml.value.Str		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: "text"))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Str
p1307.yaml.value.Str	p1307.yaml.value.Str		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode("text")	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Str
p1307.construct.Array	p1307.construct.Array		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type((1, false, (2, 3)))), repr((1, false, (2, 3))))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Array
p1307.json.value.Array	p1307.json.value.Array		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode((1, false, (2, 3)))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Array
p1307.toml.value.Array	p1307.toml.value.Array		default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: (1, false, (2, 3))))	Only this complete bilateral observation/projection is closed; historical expected preservation is independent.	Different same-source complete observation reopens the measured fragment.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Array
