probe_id	path	profile	previous_runtime_class	current_runtime_class	transition	fixture_comparable	complete_literal_equal	universe	measurement_ref	previous_measurement_ref	three_orders_stable
path-accent	accent	default	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	true
path-accent	accent	html	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	true
path-accent	accent	a11y	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	true
path-accent	accent	html+a11y	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-accent	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-accent	true
path-align	align	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	true
path-align	align	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	true
path-align	align	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	true
path-align	align	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-align	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-align	true
path-alignment.axis	alignment.axis	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	true
path-alignment.axis	alignment.axis	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	true
path-alignment.axis	alignment.axis	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	true
path-alignment.axis	alignment.axis	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.axis	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.axis	true
path-alignment.bottom	alignment.bottom	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	true
path-alignment.bottom	alignment.bottom	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	true
path-alignment.bottom	alignment.bottom	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	true
path-alignment.bottom	alignment.bottom	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.bottom	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.bottom	true
path-alignment.center	alignment.center	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	true
path-alignment.center	alignment.center	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	true
path-alignment.center	alignment.center	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	true
path-alignment.center	alignment.center	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.center	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.center	true
path-alignment.end	alignment.end	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	true
path-alignment.end	alignment.end	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	true
path-alignment.end	alignment.end	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	true
path-alignment.end	alignment.end	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.end	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.end	true
path-alignment.horizon	alignment.horizon	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	true
path-alignment.horizon	alignment.horizon	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	true
path-alignment.horizon	alignment.horizon	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	true
path-alignment.horizon	alignment.horizon	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.horizon	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.horizon	true
path-alignment.inv	alignment.inv	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	true
